id,name
7155,Daniel D'Aniello
5934,Jim Davis
9371,Ding Shijia
5126,"John Dorrance, Iii."
2900,Doris Fisher
9667,John Fisher
2750,Caroline Hagen Kjos
3276,Kieu Hoang
9989,Huang Shih Tsai
4284,H. Wayne Huizenga
4072,Osman Kibar
3038,Aloke Lohia
4753,Taha Mikati
3062,Philip Niarchos
7708,Stefan Olsson
9710,Sebastian Piñera
7674,Penny Pritzker
7989,Nicolas Puech
6132,Chandru Raheja
6022,David Rubenstein
9294,Shi Yuzhu
7882,Zygmunt Solorz-Zak
7955,Tung Chee Chen
7502,Mark Walter
4956,"William Wrigley, Jr."
3833,Mortimer Zuckerman
4763,Mohed Altrad
2918,Anil Ambani
4083,Roberto Angelini Rossi
5412,Saeed Bin Butti Al Qebaisi
7941,Pierre Chen
5233,Ray Davis
6180,"Edward Debartolo, Jr."
3821,Bennett Dorrance
4339,Eduardo Eurnekian
7985,Piero Ferrari
7926,Fiona Geminder
5088,Gu Yuhua
3438,Don Hankey
3137,Reed Hastings
1218,Huang Wei
5095,James Irsay
2294,Kim Beom-Su
5541,Mustafa Kucuk
3509,Mohamed Mansour
7476,Najib Mikati
7354,Ermirio Pereira De Moraes
2385,Bob Parsons
6779,Krit Ratanarak
2060,Helena Revoredo
3587,Phillip Ruffin
4214,Howard Schultz
8775,E. Joe Shoen
5297,Thomas Straumann
9344,Lawrence Stroll
4135,Andrew Tan
6785,Tsai Cheng-Da
9147,Frank Vandersloot
6291,Sandro Veronesi
7470,Ty Warner
7023,Oprah Winfrey
3130,Zhang Wenzhong
1699,Zuo Hui
8840,Juan Abello
5565,Semahat Sevim Arsel
9436,Bang Jun-Hyuk
7658,Koos Bekker
8003,David Bonderman
1115,Francesco Gaetano Caltagirone
3576,John Caudwell
9481,Chen Fashu
5108,Chung Eui-Sun
2402,Isabel Dos Santos
8889,Fong Yun Wah
3195,Phillip Frost
9784,Lutz Mario Helmig
5469,B. Wayne Hughes
8292,Daniel Kretinsky
1152,Raj Kumar & Kishin Rk
2085,Lam Kong
5317,Lau Cho Kun
6853,"Stephen Mandel, Jr."
8042,Gilles Martin
9798,Daniel Mate
3811,Robert Miller
8492,Jorge Moll Filho
6766,Maria Helena Moraes Scripilliti
7059,Sean Parker
1963,Jay Paul
2476,Patrick Ryan
6829,Thomas Secunda
9130,Shen Wenrong
2702,Shen Yuxing
6506,Gil Shwed
3317,Song Zuowen
3520,Warren Stephens
8777,Glen Taylor
9224,Hanni Toosbuy Kasprzak
6005,Torbjorn Tornqvist
7610,Bulat Utemuratov
2605,Chip Wilson
9194,Jerry Yang
9890,Zhang Fan
2396,Zhu Xingliang
3577,Ramon Ang
7005,Edward Bass
9032,Lee Bass
8613,Bert Beveridge
4033,George Bishop
4147,Jaime Botin
3807,Norman Braman
6007,Chin Jong Hwa
6697,Cho Tak Wong
7811,John Coates
4568,Du Jiangtao
6783,Aloysio De Andrade Faria
7738,Kenneth Feld
7489,Luca Garavoglia
6968,Noam Gottesman
2248,Jonathan Gray
9330,Stein Erik Hagen
8744,Chang-Woo Han
1729,John Henry
9906,Lawrence Ho
6239,Hui Lin Chit
9100,Mustafa Rahmi Koc
6664,Kuan Kam Hon
6081,Jane Lauder
2645,Aerin Lauder Zinterhofer
