id,Sector,Company,Worth(BUSD)
4361,Manufacturing,cement,2.4
7789,Food and Beverage,consumer goods,2.4
9358,Finance and Investments,investments,2.4
7712,Finance and Investments,private equity,2.4
2237,Fashion & Retail,supermarkets,2.4
5450,Finance and Investments,banking,2.4
1388,Manufacturing,aluminum,2.4
7416,Fashion & Retail,"tobacco distribution, retail",2.4
4026,Finance and Investments,investment,2.4
1666,Food and Beverage,retail,2.4
5216,Real Estate,real estate,2.4
1292,Finance and Investments,private equity,2.4
2860,Automotive,automobiles,2.4
6150,Real Estate,real estate,2.4
7278,Real Estate,real estate,2.4
7824,Technology,venture capital,2.3
6336,Real Estate,"real estate, retail",2.3
1343,Technology,e-commerce,2.3
2157,Construction & Engineering,"construction, real estate",2.3
4333,Finance and Investments,investments,2.3
9526,Finance and Investments,textiles,2.3
4967,Metals & Mining,"mining, metals",2.3
2640,Food and Beverage,pet food,2.3
5736,Diversified,diversified,2.3
2501,Finance and Investments,TD Ameritrade,2.3
1367,Fashion & Retail,drugstores,2.3
9440,Sports,Washington Redskins,2.3
2098,Manufacturing,train cars,2.3
3843,Food and Beverage,food processing,2.3
2516,Manufacturing,furniture,2.3
6827,Fashion & Retail,fashion retail,2.3
1907,Finance and Investments,financial services,2.3
4514,Real Estate,tobacco,2.3
4069,Healthcare,pharmaceuticals,2.3
6930,Logistics,logistics,2.3
9317,Technology,Computer Associates,2.3
6104,Healthcare,biotech,2.3
7553,Finance and Investments,finance,2.3
5300,Healthcare,pharmaceuticals,2.3
6280,Logistics,VistaJet,2.3
4468,Real Estate,real estate,2.3
6125,Diversified,diversified,2.3
8426,Manufacturing,Detergents,2.3
7422,Fashion & Retail,truck stops,2.3
1905,Healthcare,pharmaceuticals,2.3
4875,Energy,oil,2.3
7359,Finance and Investments,investments,2.3
2395,Metals & Mining,"mining, metals",2.3
7190,Healthcare,drug distribution,2.2
2778,Real Estate,real estate,2.2
8579,Fashion & Retail,retail,2.2
5184,Fashion & Retail,jewelry,2.2
8230,Food and Beverage,beer,2.2
4964,Finance and Investments,"banking, credit cards",2.2
2832,Real Estate,shopping centers,2.2
5569,Technology,health IT,2.2
5197,Technology,optical components,2.2
4847,Finance and Investments,investments,2.2
4802,Technology,Groupon,2.2
4493,Finance and Investments,finance,2.2
9074,Finance and Investments,banking,2.2
