SearchName,Nationality
Reinold_Geiger,Austria
Ilona_Herlin,
Asok_Kumar_Hiranandani,
Huang_Qiaoling,
Hal_Jackman,
Anurang_Jain,India
Keeree_Kanjanapas,
Kim_Nam-Jung,
Seth_Klarman,
Alexander_Klyachin,
Yuriy_Kosiuk,
Miguel_Krigsner,
Nicola_Leibinger-Kammueller,
Li_Weiwei,
Lou_Zhongfu,
Low_Tuck_Kwong,
P.N.C._Menon,
Thomas_Meyer,
Judith_Neilson,
Madeleine_Olsson_Ericksson,
Jose_Isaac_Peres,
Que_Wenbin,
Fayez_Sarofim,Egypt
Antonio_Luiz_Seabra,Brazil
Yuri_Shefler,
